"Event","FrameOffset","Value","SourceCategory","SourceReference"
"000301","0x000","01","protocol constant","proven acknowledgement framing/header constant"
"000301","0x001","0C","recorder RX","RX 01 0C transaction"
"000301","0x002","00","protocol constant","proven acknowledgement framing/header constant"
"000301","0x003","01","protocol constant","proven acknowledgement framing/header constant"
"000301","0x004","01","protocol constant","proven acknowledgement framing/header constant"
"000301","0x005","01","recorder RX","RX 01 0C frame offset 0x004"
"000301","0x006","02","protocol constant","proven acknowledgement framing/header constant"
"000301","0x007","01","protocol constant","proven acknowledgement framing/header constant"
"000301","0x008","02","protocol constant","proven acknowledgement framing/header constant"
"000301","0x009","0C","recorder RX","RX 01 0C transaction"
"000301","0x00A","03","protocol constant","proven acknowledgement framing/header constant"
"000301","0x00B","0C","calculated field/checksum","payload sum modulo 256"
"000301","0x00C","04","protocol constant","proven acknowledgement framing/header constant"
"000312","0x000","01","protocol constant","proven frame/header constant"
"000312","0x001","01","recorder RX","RX 01 02 frame offset 0x003"
"000312","0x002","00","protocol constant","proven frame/header constant"
"000312","0x003","01","recorder RX","RX 01 02 frame offset 0x003"
"000312","0x004","00","recorder RX","RX 01 02 frame offset 0x004"
"000312","0x005","01","recorder RX","RX 01 02 frame offset 0x005"
"000312","0x006","01","recorder RX","RX 01 02 frame offset 0x006"
"000312","0x007","FF","calculated field/checksum","generated payload length"
"000312","0x008","02","protocol constant","proven frame/header constant"
"000312","0x009","02","protocol constant","proven continuous-stream prefix replacement"
"000312","0x00A","56","recorder RX","RX 01 02 payload 0x05"
"000312","0x00B","30","recorder RX","RX 01 02 payload 0x06"
"000312","0x00C","32","recorder RX","RX 01 02 payload 0x07"
"000312","0x00D","2E","recorder RX","RX 01 02 payload 0x08"
"000312","0x00E","30","recorder RX","RX 01 02 payload 0x09"
"000312","0x00F","34","recorder RX","RX 01 02 payload 0x0A"
"000312","0x010","5F","recorder RX","RX 01 02 payload 0x0B"
"000312","0x011","00","recorder RX","RX 01 02 payload 0x0C"
"000312","0x012","30","recorder RX","RX 01 02 payload 0x0D"
"000312","0x013","35","recorder RX","RX 01 02 payload 0x0E"
"000312","0x014","43","recorder RX","RX 01 02 payload 0x0F"
"000312","0x015","30","recorder RX","RX 01 02 payload 0x10"
"000312","0x016","37","recorder RX","RX 01 02 payload 0x11"
"000312","0x017","37","recorder RX","RX 01 02 payload 0x12"
"000312","0x018","00","recorder RX","RX 01 02 payload 0x13"
"000312","0x019","00","recorder RX","RX 01 02 payload 0x14"
"000312","0x01A","37","recorder RX","RX 01 02 payload 0x15"
"000312","0x01B","39","recorder RX","RX 01 02 payload 0x16"
"000312","0x01C","38","recorder RX","RX 01 02 payload 0x17"
"000312","0x01D","30","recorder RX","RX 01 02 payload 0x18"
"000312","0x01E","34","recorder RX","RX 01 02 payload 0x19"
"000312","0x01F","00","recorder RX","RX 01 02 payload 0x1A"
"000312","0x020","00","recorder RX","RX 01 02 payload 0x1B"
"000312","0x021","00","recorder RX","RX 01 02 payload 0x1C"
"000312","0x022","00","recorder RX","RX 01 02 payload 0x1D"
"000312","0x023","00","recorder RX","RX 01 02 payload 0x1E"
