"FrameIndex","Transaction","Length","Tx20260824Sha256","Tx20260825StartSha256","Tx20260825StopSha256","AllTxIdentical","Rx20260824Sha256","Rx20260825StartSha256","Rx20260825StopSha256","AllRxIdentical"
"0","01 01","13","BDA5CD46395ADCF1879548D50833072A081A80E1FFF73A2E857E6E3D2A73AC3B","BDA5CD46395ADCF1879548D50833072A081A80E1FFF73A2E857E6E3D2A73AC3B","BDA5CD46395ADCF1879548D50833072A081A80E1FFF73A2E857E6E3D2A73AC3B","True","E527F101B4173296B94E97E3F920B71F7EFAC0BA82C62E3B3408BE82EFB58FB0","E527F101B4173296B94E97E3F920B71F7EFAC0BA82C62E3B3408BE82EFB58FB0","E527F101B4173296B94E97E3F920B71F7EFAC0BA82C62E3B3408BE82EFB58FB0","True"
"1","01 02","13","D922599A678B5FC2C817D696C869307E5A19DBD7BECE535F0E584B62A9AC0A12","D922599A678B5FC2C817D696C869307E5A19DBD7BECE535F0E584B62A9AC0A12","D922599A678B5FC2C817D696C869307E5A19DBD7BECE535F0E584B62A9AC0A12","True","9CC1BC2FE0731E075E4C57211BB5D43314B5B233849464C75728456A92670979","CCAF0DC68FF4B05D23EC925C6186A9DEB04569C88257C95B106B69FE1C4BF3A0","CCAF0DC68FF4B05D23EC925C6186A9DEB04569C88257C95B106B69FE1C4BF3A0","False"
"2","01 03","12","F9914A5E8D2AD561C13696D52CC95531E4FFCBE034F21CD21C6FF4309E799C55","F9914A5E8D2AD561C13696D52CC95531E4FFCBE034F21CD21C6FF4309E799C55","F9914A5E8D2AD561C13696D52CC95531E4FFCBE034F21CD21C6FF4309E799C55","True","9F64017AE95F3441CE3C9FED622464877CAD2F38BE48CFACB4BB3ECBA91F2067","9F64017AE95F3441CE3C9FED622464877CAD2F38BE48CFACB4BB3ECBA91F2067","9F64017AE95F3441CE3C9FED622464877CAD2F38BE48CFACB4BB3ECBA91F2067","True"
"3","01 04","13","ECC2D30032B572A811FC69F46CCF461C060DF5758A92CF5C48E418416283E5A7","ECC2D30032B572A811FC69F46CCF461C060DF5758A92CF5C48E418416283E5A7","ECC2D30032B572A811FC69F46CCF461C060DF5758A92CF5C48E418416283E5A7","True","B3ED0016853C2972DF35D64168493D5311CF4D290EF859468E9FD5B581A482D7","B3ED0016853C2972DF35D64168493D5311CF4D290EF859468E9FD5B581A482D7","B3ED0016853C2972DF35D64168493D5311CF4D290EF859468E9FD5B581A482D7","True"
"4","01 05","12","5A48D5064E3AD214E3242C75757A4E332526EAB1C9724B4DED3E0FB404878F5B","5A48D5064E3AD214E3242C75757A4E332526EAB1C9724B4DED3E0FB404878F5B","5A48D5064E3AD214E3242C75757A4E332526EAB1C9724B4DED3E0FB404878F5B","True","51A41E86E02C0D66452AD7F28F0CAD5E8515B5F762B67ABA48C29F13B3C08278","51A41E86E02C0D66452AD7F28F0CAD5E8515B5F762B67ABA48C29F13B3C08278","51A41E86E02C0D66452AD7F28F0CAD5E8515B5F762B67ABA48C29F13B3C08278","True"
"5","01 06","13","6BBBB15FEF62F26B291D0EE98E69CC38ACF0F935AEA9572CBB9265B4DAB3F01F","6BBBB15FEF62F26B291D0EE98E69CC38ACF0F935AEA9572CBB9265B4DAB3F01F","6BBBB15FEF62F26B291D0EE98E69CC38ACF0F935AEA9572CBB9265B4DAB3F01F","True","981865A2191DA0D084C4F2D1C4B6DBFBB5B206A3A5EA29CFB4A37D2A39600AB2","981865A2191DA0D084C4F2D1C4B6DBFBB5B206A3A5EA29CFB4A37D2A39600AB2","981865A2191DA0D084C4F2D1C4B6DBFBB5B206A3A5EA29CFB4A37D2A39600AB2","True"
"6","01 07","12","6A09E3416372FD6B37B6BB33121D3EF755CCE9B28F2B48F79A415BDFDCD26536","6A09E3416372FD6B37B6BB33121D3EF755CCE9B28F2B48F79A415BDFDCD26536","6A09E3416372FD6B37B6BB33121D3EF755CCE9B28F2B48F79A415BDFDCD26536","True","32BA96DC5482A14FECBD82C4DC8AFDD568961EC7E7CAB64752D724D703DA74BA","32BA96DC5482A14FECBD82C4DC8AFDD568961EC7E7CAB64752D724D703DA74BA","32BA96DC5482A14FECBD82C4DC8AFDD568961EC7E7CAB64752D724D703DA74BA","True"
"7","01 08","13","911213EECD95ABB43EF8F9F180AAB50A194E753A126776AD2983C1B1F1857720","911213EECD95ABB43EF8F9F180AAB50A194E753A126776AD2983C1B1F1857720","911213EECD95ABB43EF8F9F180AAB50A194E753A126776AD2983C1B1F1857720","True","F18D033579E55F63807943DDFDD7DE9D685CFFF1A924D66660147BA7A64AAABD","F18D033579E55F63807943DDFDD7DE9D685CFFF1A924D66660147BA7A64AAABD","F18D033579E55F63807943DDFDD7DE9D685CFFF1A924D66660147BA7A64AAABD","True"
"8","01 09","12","FF43866D3F76385FD2224724B647368E80197F2D8184997D88EEF0F2E5E4765E","FF43866D3F76385FD2224724B647368E80197F2D8184997D88EEF0F2E5E4765E","FF43866D3F76385FD2224724B647368E80197F2D8184997D88EEF0F2E5E4765E","True","2EFC1673D5CD94D809D157B853ED2AA56786D56AB9268D54A60DBDB869982E2D","2EFC1673D5CD94D809D157B853ED2AA56786D56AB9268D54A60DBDB869982E2D","2EFC1673D5CD94D809D157B853ED2AA56786D56AB9268D54A60DBDB869982E2D","True"
"9","01 0A","13","AC08B8E25922373599CE874374079DFD976EF4CA3DBB73AA46A9CBCE6B81796A","AC08B8E25922373599CE874374079DFD976EF4CA3DBB73AA46A9CBCE6B81796A","AC08B8E25922373599CE874374079DFD976EF4CA3DBB73AA46A9CBCE6B81796A","True","92E4EA7A3420E25257243EFB757C0AF3A64A25281F454385B49193D1EE11B94A","92E4EA7A3420E25257243EFB757C0AF3A64A25281F454385B49193D1EE11B94A","92E4EA7A3420E25257243EFB757C0AF3A64A25281F454385B49193D1EE11B94A","True"
