"Event","FrameOffset","Tx20260824","Tx20260825Start","Tx20260825Stop","TxIdenticalAllExchanges","RelatedContinuousRxOffset","Rx20260824","Rx20260825Start","Rx20260825Stop","RxIdenticalAllExchanges","Transform","PhaseFinding","SelectedCcfOffset","SelectedCcfValue","ResolvedBySecondHhd","ResolvedByCcfEvidence","ResolvedOverall","Classification"
"000312","0x009","02","02","02","True","0x000","06","06","06","True","5-to-1 replacement","identical in old START, new START, and new STOP exchanges","","","True","False","True","resolved repeated continuous-stream prefix constant across three exchanges"
"000312","0x08B","FA","FA","FD","False","0x086","04","01","01","False","one-byte replacement","START CCF[0x0231]=04 -> FA; STOP cached RX=01 -> FD; wire=(FE-source) mod 256","0x0231","04","False","True","True","resolved phase-selected value: START uses selected CCF 0x0231; STOP uses cached recorder value; wire=(FE-value) mod 256"
"000312","0x0BD","03","03","00","False","0x0B8","00","03","03","False","one-byte replacement","START CCF[0x0263]=00 -> 03; STOP cached RX=03 -> 00; wire=(03-source) mod 256","0x0263","00","False","True","True","resolved phase-selected value: START uses selected CCF 0x0263; STOP uses cached recorder value; wire=(03-value) mod 256"
"000357","0x086","00","00","00","True","0x269","01","01","01","True","zero insertion after source removal","identical in old START, new START, and new STOP exchanges","","","True","False","True","resolved repeated structural zero insertion across three exchanges"
"000357","0x087","00","00","00","True","0x26A","07","07","07","True","zero insertion after source removal","identical in old START, new START, and new STOP exchanges","","","True","False","True","resolved repeated structural zero insertion across three exchanges"
"000357","0x0D6","00","00","00","True","0x2C9","03","03","03","True","zero insertion after source removal","identical in old START, new START, and new STOP exchanges","","","True","False","True","resolved repeated structural zero insertion across three exchanges"
"000357","0x0D7","00","00","00","True","0x2CA","02","02","02","True","zero insertion after source removal","identical in old START, new START, and new STOP exchanges","","","True","False","True","resolved repeated structural zero insertion across three exchanges"
"000378","0x00F","00","00","00","True","0x2E9","01","01","01","True","cross-page zero insertion after source removal","identical in old START, new START, and new STOP exchanges","","","True","False","True","resolved repeated structural zero insertion across three exchanges"
"000378","0x010","00","00","00","True","0x2EA","13","13","13","True","cross-page zero insertion after source removal","identical in old START, new START, and new STOP exchanges","","","True","False","True","resolved repeated structural zero insertion across three exchanges"
"000378","0x067","00","00","00","True","0x359","03","03","03","True","zero insertion after source removal","identical in old START, new START, and new STOP exchanges","","","True","False","True","resolved repeated structural zero insertion across three exchanges"
"000378","0x068","00","00","00","True","0x35A","02","02","02","True","zero insertion after source removal","identical in old START, new START, and new STOP exchanges","","","True","False","True","resolved repeated structural zero insertion across three exchanges"
"000378","0x097","00","00","00","True","0x371","01","01","01","True","zero insertion after source removal","identical in old START, new START, and new STOP exchanges","","","True","False","True","resolved repeated structural zero insertion across three exchanges"
"000378","0x098","00","00","00","True","0x372","12","12","12","True","zero insertion after source removal","identical in old START, new START, and new STOP exchanges","","","True","False","True","resolved repeated structural zero insertion across three exchanges"
"000423","0x0CD","40","40","40","True","0x5C3","00","00","00","True","one-byte replacement after global shift","identical in old START, new START, and new STOP exchanges","","","True","False","True","resolved repeated continuous-stream terminal constant across three exchanges"
