"Event","Timestamp","Operation","Bytes","Timing"
"000294","2026-08-25 08:32:59.2668354","Last recorded realtime RX buffer","FF FB FB 38 89 38 88 38 89 38 88 38 89 38 88 FF D2 0C FB FB 38 89 38 88 38 89 FF FB FB 38 88 38 89 38 88 38 89 38 88 38 89 FF FB FB 38 8A 38 89 38 8A FF D2 05 FB FB 38 8B 38 8A 38 8B FF D2 0F FB FB 38 8A 38 8B 38 8A FF FB FB 38 8B 38 8A 38 8B 38 8A 38 8B FF FB FB 38 8A 38 8B 38 8A 38 8B FF FB FB 38 8C FF D2 03 FB FB 38 8B 38 8C FF FB FB 38 8D 38 8C 38 8D 38 8C FF D2 0D FB FB 38 8D 38 8C 38 8D 38 8C 38 8D 38 8C 38 8D FF D2 01 FB FB 38 8E 38 8D 38 8E FF D2 05 FB FB 38 8F 38 8E 38 8F 38 8E FF D2 0F FB FB 38 8F 38 8E 38 8F 38 8E FF FB FB 38 8F 38 8E FF FB FB 38 8F 38 8E 38 8F 38 8E 38 8F 38 90 FF FB FB 38 8F 38 90 38 8F 38 90 FF","0xD3 bytes; final complete frame shown in report"
"000991","2026-08-25 08:34:36.4766763","Close live DTR-high COM session","-","No intervening TX, purge, RTS, or DTR IOCTL after realtime RX"
"000993","2026-08-25 08:34:36.6770042","Open COM for STOP cleanup","-","200.3279 ms after live close"
"000994","2026-08-25 08:34:36.7020128","COM open completed","-","225.3365 ms after live close"
"001011","2026-08-25 08:34:36.7085671","Set baud rate 38400","-","-"
"001013","2026-08-25 08:34:36.7100470","RTS LOW","-","-"
"001015","2026-08-25 08:34:36.7111323","DTR LOW","-","-"
"001017","2026-08-25 08:34:36.7119980","Set 8 data bits, no parity, 1 stop bit","-","-"
"001025","2026-08-25 08:34:36.7149450","Purge RX/TX requests and buffers","-","-"
"001029","2026-08-25 08:34:36.7187099","Purge RX/TX requests and buffers","-","-"
"001031","2026-08-25 08:34:36.7190059","Purge RX/TX requests and buffers","-","-"
"001033","2026-08-25 08:34:36.7192584","Begin full STOP cleanup exchange with 01 01","01 01 00 01 01 01 01 01 02 01 03 01 04","242.5821 ms after live close"
"001245","2026-08-25 08:34:47.8269134","Final 01 07 after complete 01 13","01 07 00 01 01 01 02 01 02 13 03 13 04","-"
"001247","2026-08-25 08:34:47.8314752","Final COM close; no subsequent reopen observed","-","4.5618 ms after final 01 07"
