"Event","TxFrameOffset","TxValue","EarlierClassification","ContinuousSourceLocation","PreviousRxSourceValue","CurrentRxSourceValue","BetweenSessions","Finding"
"000312","0x009","02","unknown","page1+0x00..page1+0x04","06 00 00 05 C0","06 00 00 05 C0","constant source","modified/replacement; generation rule unknown"
"000312","0x08B","FA","modified from current OTMR","page1+0x86","C6","04","different source","modified/replacement; generation rule unknown"
"000312","0x0BD","03","modified from current OTMR","page1+0xB8","08","00","different source","modified/replacement; generation rule unknown"
"000312","0x104","00","unknown","page2+0x00","00","00","constant source","copied from current OTMR under continuous-page alignment"
"000312","0x105","00","unknown","page2+0x01","00","00","constant source","copied from current OTMR under continuous-page alignment"
"000312","0x106","00","unknown","page2+0x02","00","00","constant source","copied from current OTMR under continuous-page alignment"
"000312","0x107","00","unknown","page2+0x03","00","00","constant source","copied from current OTMR under continuous-page alignment"
"000335","0x104","00","unknown","page3+0x00","00","00","constant source","copied from current OTMR under continuous-page alignment"
"000335","0x105","00","unknown","page3+0x01","00","00","constant source","copied from current OTMR under continuous-page alignment"
"000335","0x106","00","unknown","page3+0x02","00","00","constant source","copied from current OTMR under continuous-page alignment"
"000335","0x107","03","unknown","page3+0x03","03","03","constant source","copied from current OTMR under continuous-page alignment"
"000357","0x086","00","unknown","-","-","-","no aligned source","unknown under continuous-page alignment"
"000357","0x087","00","unknown","-","-","-","no aligned source","unknown under continuous-page alignment"
"000357","0x0D6","00","unknown","-","-","-","no aligned source","unknown under continuous-page alignment"
"000357","0x0D7","00","unknown","-","-","-","no aligned source","unknown under continuous-page alignment"
"000357","0x102","00","unknown","page4+0x00","00","00","constant source","copied from current OTMR under continuous-page alignment"
"000357","0x103","00","unknown","page4+0x01","00","00","constant source","copied from current OTMR under continuous-page alignment"
"000357","0x104","00","unknown","page4+0x02","00","00","constant source","copied from current OTMR under continuous-page alignment"
"000357","0x105","00","unknown","page4+0x03","00","00","constant source","copied from current OTMR under continuous-page alignment"
"000357","0x106","00","unknown","page4+0x04","00","00","constant source","copied from current OTMR under continuous-page alignment"
"000357","0x107","00","unknown","page4+0x05","00","00","constant source","copied from current OTMR under continuous-page alignment"
"000378","0x00F","00","copied from current OTMR","-","-","-","no aligned source","unknown under continuous-page alignment"
"000378","0x010","00","copied from current OTMR","-","-","-","no aligned source","unknown under continuous-page alignment"
"000378","0x067","00","unknown","-","-","-","no aligned source","unknown under continuous-page alignment"
"000378","0x068","00","unknown","-","-","-","no aligned source","unknown under continuous-page alignment"
"000378","0x097","00","unknown","-","-","-","no aligned source","unknown under continuous-page alignment"
"000378","0x098","00","unknown","-","-","-","no aligned source","unknown under continuous-page alignment"
"000378","0x104","00","unknown","page5+0x00","00","00","constant source","copied from current OTMR under continuous-page alignment"
"000378","0x105","00","unknown","page5+0x01","00","00","constant source","copied from current OTMR under continuous-page alignment"
"000378","0x106","00","unknown","page5+0x02","00","00","constant source","copied from current OTMR under continuous-page alignment"
"000378","0x107","00","unknown","page5+0x03","00","00","constant source","copied from current OTMR under continuous-page alignment"
"000423","0x0CD","40","unknown","page6+0xC8","00","00","constant source","modified/replacement; generation rule unknown"
