"Event","SourceRx","PayloadOffset","FrameOffset","PreviousValue","CurrentValue"
"000312","01 02","0x0A","0x013","37","34"
"000312","01 02","0x0E","0x017","34","35"
"000312","01 02","0x0F","0x018","42","43"
"000312","01 02","0x10","0x019","37","30"
"000312","01 02","0x12","0x01B","31","37"
"000312","01 02","0x4F","0x058","16","96"
"000312","01 02","0x50","0x059","96","16"
"000312","01 02","0x53","0x05C","16","96"
"000312","01 02","0x57","0x060","02","00"
"000312","01 02","0x58","0x061","F0","04"
"000312","01 02","0x59","0x062","00","42"
"000312","01 02","0x5A","0x063","52","12"
"000312","01 02","0x86","0x08F","C6","04"
"000312","01 02","0x9D","0x0A6","31","20"
"000312","01 02","0xA4","0x0AD","70","40"
"000312","01 02","0xA5","0x0AE","11","1F"
"000312","01 02","0xAF","0x0B8","50","80"
"000312","01 02","0xB8","0x0C1","08","00"
"000335","01 04","0x47","0x050","00","04"
"000335","01 04","0x48","0x051","00","06"
"000335","01 04","0xA2","0x0AB","00","03"
"000335","01 04","0xB2","0x0BB","00","03"
"000335","01 04","0xC2","0x0CB","00","03"
"000335","01 04","0xD2","0x0DB","00","01"
"000335","01 04","0xD3","0x0DC","00","06"
"000335","01 04","0xDA","0x0E3","01","00"
"000335","01 04","0xDB","0x0E4","11","00"
"000357","01 06","0x0B","0x014","00","03"
"000357","01 06","0x13","0x01C","00","03"
"000357","01 06","0x4B","0x054","00","03"
"000357","01 06","0x53","0x05C","00","03"
"000357","01 06","0x5B","0x064","01","00"
"000357","01 06","0x5C","0x065","06","00"
"000357","01 06","0x6B","0x074","00","01"
"000357","01 06","0x6C","0x075","00","07"
"000357","01 06","0xD3","0x0DC","00","03"
"000357","01 06","0xDB","0x0E4","00","03"
"000357","01 06","0xEB","0x0F4","00","01"
"000357","01 06","0xEC","0x0F5","00","13"
"000378","01 08","0x5C","0x065","00","03"
"000378","01 08","0x64","0x06D","00","03"
"000378","01 08","0x74","0x07D","00","01"
"000378","01 08","0x75","0x07E","0E","12"
"000378","01 08","0xE4","0x0ED","03","00"
"000378","01 08","0xEC","0x0F5","03","00"
"000378","01 08","0xF4","0x0FD","00","01"
"000378","01 08","0xF5","0x0FE","00","06"
